cid	Job Title	STYRK 08	STYRK 08 label
151721	Malerikonservator	2621	Arkivarar og kuratorar
22261	Konservator	2621	Arkivarar og kuratorar
23218	Arkivar	2621	Arkivarar og kuratorar
115127	Kurator	2621	Arkivarar og kuratorar
69445	Arkivleder	2621_x000D_
4415	Arkivarar og kuratorar_x000D_
Arkivassistentar
39458	Bokantikvar	2621_x000D_
5222	Arkivarar og kuratorar_x000D_
Butikkavdelingssjefar
66269	Bibliotekarar og andre informasjonsarbeidarar	2622	Bibliotekarar og andre informasjonsarbeidarar
198195	UNIVERSITETSBIBLIOTEKAR	2622	Bibliotekarar og andre informasjonsarbeidarar
23236	Bibliotekar	2622_x000D_
4411	Bibliotekarar og andre informasjonsarbeidarar_x000D_
Bibliotekassistentar
67067	Samfunnsvitskaplege, humanistiske og religiøse yrke	263	Samfunnsvitskaplege, humanistiske og religiøse yrke
21888	Samfunnsøkonom	2631	Rådgjevarar/forskarar, samfunnsøkonomi
21885	Økonom	2631	Rådgjevarar/forskarar, samfunnsøkonomi
66268	Sosiolog	2632	Rådgjevarar/forskarar, samfunnsvitskap
23086	Statsviter	2632	Rådgjevarar/forskarar, samfunnsvitskap
109211	Forsker (sosiologi, sosialantropologi, samfunnsgeografi og statsvitenskap)	2632	Rådgjevarar/forskarar, samfunnsvitskap
41677	Kriminolog	2632	Rådgjevarar/forskarar, samfunnsvitskap
101543	Samfunnsgeograf	2632	Rådgjevarar/forskarar, samfunnsvitskap
139425	Medieforsker	2632	Rådgjevarar/forskarar, samfunnsvitskap
109183	Sosialantropolog	2632	Rådgjevarar/forskarar, samfunnsvitskap
23095	Historiker	2633	Rådgjevarar/forskarar, humanistiske fag
66267	Rådgjevarar/forskarar, humanistiske fag	2633	Rådgjevarar/forskarar, humanistiske fag
23098	Kunsthistoriker	2633	Rådgjevarar/forskarar, humanistiske fag
56480	Kulturhistoriker	2633	Rådgjevarar/forskarar, humanistiske fag
267224	Idéhistoriker	2633	Rådgjevarar/forskarar, humanistiske fag
109105	Religionshistoriker	2633	Rådgjevarar/forskarar, humanistiske fag
23089	Etnolog	2633	Rådgjevarar/forskarar, humanistiske fag
23080	Arkeolog	2633	Rådgjevarar/forskarar, humanistiske fag
259271	Psykologfaglig rådgiver	2634	Psykologar
269446	Pedagogisk-psykologisk rådgiver (PP-rådgiver)	2634	Psykologar
19961	Barne- og ungdomspsykolog	2634	Psykologar
19955	Psykolog	2634	Psykologar
19962	Klinisk psykolog (spesialist)	2634	Psykologar
23126	Miljøterapeut	2635	Rådgjevarar innan sosiale fagfelt
263784	Barnevernspedagog	2635	Rådgjevarar innan sosiale fagfelt
170127	Sosialarbeider barnevern	2635	Rådgjevarar innan sosiale fagfelt
20336	Familierådgiver	2635	Rådgjevarar innan sosiale fagfelt
70433	Klinisk sosionom	2635	Rådgjevarar innan sosiale fagfelt
108027	Fengselsprest	2636	Geistlege yrke
261361	Sykehusprest	2636	Geistlege yrke
23121	Prest	2636	Geistlege yrke
108007	Pastor (Evangelisk)	2636	Geistlege yrke
